LAT,LON,X,Y,L,W,D,SLIP,RAKE,STRIKE,DIP
37.2835,141.9894,-40.6808,-118.6041,25,20,30.5908,1.5114,95.3581,194,10.21
37.0657,141.9179,-46.9107,-142.8154,25,20,30.5908,3.3753,53.8516,194,10.21
36.8478,141.8464,-53.1406,-167.0267,25,20,30.5908,1.1312,91.3032,194,10.21
36.6299,141.7749,-59.3705,-191.2381,25,20,30.5908,1.2074,121.2797,194,10.21
36.412,141.7034,-65.6005,-215.4494,25,20,30.5908,1.0872,82.6811,194,10.21
36.1941,141.6319,-71.8304,-239.6607,25,20,30.5908,0.7445,124.1186,194,10.21
35.9762,141.5604,-78.0603,-263.872,25,20,30.5908,0.5204,110.058,194,10.21
35.7584,141.4889,-84.2902,-288.0834,25,20,30.5908,0.3315,83.7999,194,10.21
35.5405,141.4175,-90.5201,-312.2947,25,20,30.5908,0.7613,80.07,194,10.21
40.8138,142.9145,39.9356,273.6821,25,20,34.136,2.5374,53.7392,194,10.21
40.596,142.843,33.7057,249.4707,25,20,34.136,1.4179,114.6705,194,10.21
40.3781,142.7715,27.4758,225.2594,25,20,34.136,0.9631,50.3749,194,10.21
40.1602,142.7,21.2459,201.0481,25,20,34.136,4.8538,54.9756,194,10.21
39.9423,142.6285,15.0159,176.8368,25,20,34.136,2.7836,52.1514,194,10.21
39.7244,142.557,8.786,152.6255,25,20,34.136,1.1896,73.2125,194,10.21
39.5065,142.4855,2.5561,128.4141,25,20,34.136,2.6114,90.5497,194,10.21
39.2887,142.4141,-3.6738,104.2028,25,20,34.136,3.8543,61.1854,194,10.21
39.0708,142.3426,-9.9038,79.9915,25,20,34.136,5.6902,73.3616,194,10.21
38.8529,142.2711,-16.1337,55.7802,25,20,34.136,7.4851,58.3355,194,10.21
38.635,142.1996,-22.3636,31.5688,25,20,34.136,8.1992,61.2165,194,10.21
38.4171,142.1281,-28.5935,7.3575,25,20,34.136,10.1134,78.5563,194,10.21
38.1992,142.0566,-34.8234,-16.8538,25,20,34.136,4.7732,95.1445,194,10.21
37.9813,141.9851,-41.0534,-41.0651,25,20,34.136,2.5555,76.4301,194,10.21
37.7635,141.9136,-47.2833,-65.2764,25,20,34.136,3.2692,112.1063,194,10.21
37.5456,141.8421,-53.5132,-89.4878,25,20,34.136,1.0388,123.3743,194,10.21
37.3277,141.7706,-59.7431,-113.6991,25,20,34.136,0.7573,98.2472,194,10.21
37.1098,141.6991,-65.973,-137.9104,25,20,34.136,4.5039,52.2778,194,10.21
36.8919,141.6277,-72.203,-162.1217,25,20,34.136,2.1833,53.2076,194,10.21
36.674,141.5562,-78.4329,-186.333,25,20,34.136,0.2937,67.2884,194,10.21
36.4562,141.4847,-84.6628,-210.5444,25,20,34.136,2.5977,67.7166,194,10.21
36.2383,141.4132,-90.8927,-234.7557,25,20,34.136,1.5619,108.9685,194,10.21
36.0204,141.3417,-97.1226,-258.967,25,20,34.136,0.6282,105.7543,194,10.21
35.8025,141.2702,-103.3526,-283.1783,25,20,34.136,1.102,126.3367,194,10.21
35.5846,141.1987,-109.5825,-307.3897,25,20,34.136,0.8075,100.9026,194,10.21
40.858,142.6957,20.8733,278.5871,25,20,37.6811,1.4971,63.0391,194,10.21
