Site,Event,Depth,Accuracy,TPR,FPR,F1,G
Rikuzentakata,FUJI2011_42,5m-10m,0.82,0.5585760517799353,0.10092102684695277,0.1709547185110136,0.055
Rikuzentakata,FUJI2011_42,10m-15m,0.91,0.8065112837587866,0.01977186311787072,0.03859749715523916,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0012033694344163659,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.912,0.9908835904628331,0.10915358100344695,0.19664515902204066,0.663
Rikuzentakata,FUJI2011_42,1m-2m,0.925,0.052083333333333336,0.04879182156133829,0.05038387715930902,0.539
Rikuzentakata,FUJI2011_42,2m-5m,0.815,0.1649616368286445,0.09802250255710876,0.1229728340699822,0.407
Rikuzentakata,FUJI2011_42,5m-10m,0.819,0.5559870550161812,0.10190084264158339,0.17223466066382528,0.056
Rikuzentakata,FUJI2011_42,10m-15m,0.909,0.8042915279319275,0.01875792141951838,0.03666082831649965,0.009
Rikuzentakata,FUJI2011_42,15m+,0.999,,0.0013537906137184115,,
Rikuzentakata,FUJI2011_42,0.1m-1m,0.91,0.9922861150070126,0.11240903868249713,0.2019415544883951,0.668
Rikuzentakata,FUJI2011_42,1m-2m,0.926,0.057291666666666664,0.04801734820322181,0.052246123674695104,0.561
